iter	Passed	Remaining
0	165	164893
1	167	83405
2	169	56183
3	170	42483
4	172	34232
5	173	28703
6	174	24744
7	175	21755
8	176	19423
9	177	17541
10	177	15999
11	178	14713
12	179	13615
13	179	12674
14	180	11855
15	181	11144
16	181	10511
17	182	9960
18	183	9456
19	183	9009
20	184	8607
21	185	8238
22	186	7905
23	186	7597
24	187	7312
25	188	7049
26	188	6802
27	189	6578
28	190	6365
29	190	6170
30	191	5987
31	192	5814
32	192	5654
33	193	5501
34	194	5356
35	194	5218
36	195	5090
37	196	4968
38	196	4852
39	197	4743
40	198	4641
41	199	4543
42	199	4446
43	200	4355
44	201	4267
45	201	4186
46	202	4107
47	203	4030
48	203	3958
49	204	3887
50	205	3820
51	205	3754
52	206	3692
53	207	3632
54	208	3574
55	208	3516
56	209	3462
57	209	3409
58	210	3359
59	211	3309
60	211	3263
61	212	3216
62	213	3173
63	213	3129
64	214	3089
65	215	3049
66	216	3011
67	216	2968
68	217	2930
69	217	2895
70	218	2861
71	219	2826
72	220	2793
73	220	2761
74	221	2728
75	222	2699
76	222	2670
77	223	2641
78	224	2612
79	224	2583
80	225	2557
81	226	2530
82	226	2503
83	227	2478
84	227	2451
85	228	2427
86	228	2402
87	229	2380
88	230	2358
89	231	2336
90	231	2314
91	232	2292
92	232	2271
93	233	2251
94	234	2230
95	234	2212
96	235	2194
97	236	2175
98	237	2158
99	237	2140
100	238	2122
101	238	2102
102	239	2085
103	240	2068
104	240	2052
105	241	2036
106	242	2020
107	242	2004
108	243	1989
109	244	1974
110	244	1959
111	245	1944
112	245	1929
113	246	1916
114	247	1902
115	247	1887
116	248	1874
117	248	1860
118	249	1846
119	250	1834
120	250	1821
121	251	1809
122	251	1795
123	252	1783
124	252	1770
125	253	1759
126	254	1747
127	254	1735
128	255	1724
129	255	1713
130	256	1702
131	257	1692
132	257	1681
133	258	1671
134	259	1661
135	259	1651
136	260	1641
137	261	1631
138	261	1621
139	262	1611
140	263	1602
141	263	1594
142	264	1584
143	265	1576
144	265	1567
145	266	1558
146	267	1549
147	267	1541
148	268	1532
149	269	1524
150	269	1516
151	270	1508
152	270	1499
153	271	1491
154	272	1483
155	272	1475
156	273	1467
157	273	1459
158	274	1452
159	275	1444
160	275	1437
161	276	1430
162	277	1423
163	277	1416
164	278	1409
165	279	1402
166	279	1396
167	280	1389
168	281	1382
169	281	1375
170	282	1368
171	282	1362
172	283	1355
173	284	1348
174	284	1342
175	285	1336
176	286	1330
177	286	1324
178	287	1318
179	288	1312
180	288	1304
181	289	1298
182	289	1293
183	290	1287
184	291	1282
185	291	1276
186	292	1271
187	292	1265
188	293	1259
189	294	1254
190	294	1249
191	295	1243
192	296	1238
193	296	1232
194	297	1227
195	298	1222
196	298	1217
197	299	1212
198	299	1207
199	300	1202
200	301	1197
201	301	1192
202	302	1188
203	303	1183
204	303	1178
205	304	1173
206	305	1168
207	305	1164
208	306	1159
209	307	1155
210	307	1150
211	308	1146
212	309	1141
213	309	1137
214	310	1132
215	310	1128
216	311	1124
217	312	1119
218	312	1115
219	313	1111
220	314	1107
221	314	1103
222	315	1099
223	316	1094
224	316	1090
225	317	1086
226	317	1082
227	318	1078
228	319	1074
229	319	1070
230	320	1066
231	321	1063
232	321	1059
233	322	1055
234	323	1051
235	323	1048
236	324	1044
237	325	1040
238	325	1037
239	326	1033
240	327	1029
241	327	1026
242	328	1022
243	328	1019
244	329	1015
245	330	1012
246	330	1008
247	331	1005
248	332	1001
249	332	998
250	333	994
251	333	991
252	334	987
253	335	984
254	335	981
255	336	978
256	337	974
257	337	971
258	338	968
259	339	965
260	339	961
261	340	958
262	341	955
263	341	952
264	342	949
265	343	946
266	343	944
267	344	941
268	345	938
269	345	935
270	346	932
271	347	929
272	347	926
273	348	923
274	349	920
275	349	917
276	350	914
277	351	911
278	351	908
279	352	905
280	352	902
281	353	900
282	354	897
283	354	894
284	355	892
285	356	889
286	356	886
287	357	883
288	358	881
289	358	878
290	359	876
291	360	873
292	360	870
293	361	867
294	362	865
295	362	862
296	363	860
297	364	857
298	364	855
299	365	852
300	365	849
301	366	847
302	367	844
303	367	842
304	368	839
305	369	837
306	369	834
307	370	832
308	371	830
309	371	827
310	372	825
311	373	823
312	374	821
313	374	818
314	375	816
315	376	814
316	377	812
317	377	810
318	378	807
319	379	805
320	379	803
321	380	800
322	381	798
323	381	796
324	382	794
325	383	792
326	383	789
327	384	787
328	385	785
329	385	783
330	386	781
331	387	778
332	387	776
333	388	774
334	389	772
335	389	770
336	390	768
337	391	766
338	392	764
339	392	762
340	393	760
341	394	758
342	395	756
343	395	754
344	396	752
345	397	751
346	398	749
347	398	747
348	399	745
349	400	743
350	401	741
351	401	739
352	402	737
353	403	736
354	403	733
355	404	732
356	405	730
357	406	728
358	407	727
359	407	725
360	408	723
361	409	721
362	410	719
363	410	717
364	411	715
365	412	714
366	413	712
367	413	710
368	414	709
369	415	707
370	416	705
371	417	704
372	418	702
373	418	700
374	419	699
375	420	697
376	420	695
377	421	694
378	422	692
379	423	690
380	423	688
381	424	686
382	425	684
383	425	683
384	426	681
385	427	679
386	428	678
387	428	676
388	429	674
389	429	672
390	430	670
391	431	668
392	431	667
393	432	665
394	433	663
395	433	661
396	434	660
397	435	658
398	436	656
399	436	655
400	437	653
401	437	651
402	438	649
403	439	648
404	440	646
405	440	644
406	441	643
407	442	641
408	443	640
409	443	638
410	444	636
411	444	635
412	445	633
413	446	631
414	447	630
415	447	628
416	448	626
417	449	625
418	449	623
419	450	621
420	450	620
421	451	618
422	452	616
423	452	615
424	453	613
425	454	611
426	454	610
427	455	608
428	456	607
429	456	605
430	457	604
431	458	602
432	459	601
433	459	599
434	460	598
435	461	596
436	461	594
437	462	593
438	462	591
439	463	590
440	464	588
441	465	587
442	465	585
443	466	584
444	467	582
445	467	581
446	468	579
447	469	578
448	469	576
449	470	574
450	470	573
451	471	571
452	472	570
453	473	568
454	473	567
455	474	565
456	474	564
457	475	562
458	476	561
459	476	559
460	477	558
461	478	556
462	478	555
463	479	553
464	480	552
465	480	550
466	481	549
467	482	547
468	482	546
469	483	545
470	483	543
471	484	542
472	485	540
473	485	539
474	486	537
475	487	536
476	487	534
477	488	533
478	489	532
479	489	530
480	490	529
481	491	527
482	491	526
483	492	524
484	492	523
485	493	522
486	494	520
487	494	519
